"postcode","latitude","longitude"
"BL9 5NF",53.629509,-2.308449
"BL9 5NG",53.628647,-2.31127
"BL9 5NH",53.64008,-2.305276
"BL9 5NJ",53.638377,-2.303419
"BL9 5NL",53.640546,-2.302315
"BL9 5NN",53.629104,-2.312075
"BL9 5NP",53.641666,-2.303032
"BL9 5NQ",53.628595,-2.311574
"BL9 5NR",53.631354,-2.300919
"BL9 5NS",53.631499,-2.306739
"BL9 5NT",53.630949,-2.311075
"BL9 5NU",53.630903,-2.312166
"BL9 5NW",53.62905,-2.311923
"BL9 5NX",53.630175,-2.312115
"BL9 5NY",53.63033,-2.31127
"BL9 5NZ",53.630088,-2.310875
"BL9 5PA",53.62757,-2.30446
"BL9 5PB",53.624706,-2.306161
"BL9 5PD",53.62842,-2.309532
"BL9 5PE",53.631806,-2.313851
"BL9 5PF",53.630082,-2.31337
"BL9 5PG",53.63238,-2.314581
"BL9 5PH",53.629579,-2.312456
"BL9 5PL",53.631395,-2.313107
"BL9 5PN",53.632476,-2.315625
"BL9 5PQ",53.632558,-2.315112
"BL9 5PR",53.632256,-2.316544
"BL9 5PS",53.632194,-2.316727
"BL9 5PT",53.632128,-2.317224
"BL9 5PU",53.632144,-2.315472
"BL9 5PW",53.632349,-2.316078
"BL9 5PX",53.630744,-2.313886
"BL9 5PZ",53.626067,-2.312372
"BL9 5QA",53.623216,-2.312122
"BL9 5QB",53.627254,-2.315314
"BL9 5QD",53.627275,-2.317824
"BL9 5QE",53.627038,-2.318851
"BL9 5QF",53.627308,-2.318823
"BL9 5QG",53.630595,-2.312995
"BL9 5QH",53.627176,-2.317612
"BL9 5QJ",53.628627,-2.319087
"BL9 5QL",53.630182,-2.319857
"BL9 5QN",53.631027,-2.308868
"BL9 5QP",53.631004,-2.32095
"BL9 5QR",53.62778,-2.320369
"BL9 5QS",53.614183,-2.301444
"BL9 5QT",53.613472,-2.298582
"BL9 5QU",53.618846,-2.305922
"BL9 5QW",53.632179,-2.312145
"BL9 5QX",53.630756,-2.3203
"BL9 5QZ",53.61825,-2.296393
"BL9 5WQ",53.592627,-2.310206
"BL9 6AB",53.597443,-2.288693
"BL9 6AD",53.598136,-2.288229
"BL9 6AE",53.596068,-2.284604
"BL9 6AG",53.598332,-2.285118
"BL9 6AH",53.597467,-2.287079
"BL9 6AJ",53.596447,-2.285062
"BL9 6AQ",53.598479,-2.283713
"BL9 6AR",53.596909,-2.286407
"BL9 6AS",53.596461,-2.286407
"BL9 6AT",53.607946,-2.275026
"BL9 6AW",53.598161,-2.285252
"BL9 6AY",53.596755,-2.283946
"BL9 6BA",53.596987,-2.284628
"BL9 6BB",53.59715,-2.283176
"BL9 6BE",53.596585,-2.283703
"BL9 6BF",53.595948,-2.282898
"BL9 6BG",53.59657,-2.28154
"BL9 6BH",53.595471,-2.283454
"BL9 6BJ",53.595335,-2.283088
"BL9 6BL",53.595159,-2.282122
"BL9 6BN",53.596726,-2.284852
"BL9 6BP",53.596767,-2.282526
"BL9 6BQ",53.598785,-2.284489
"BL9 6BR",53.597728,-2.282955
"BL9 6BS",53.59773,-2.282155
"BL9 6BT",53.599195,-2.285244
"BL9 6BU",53.599496,-2.283418
"BL9 6BX",53.598972,-2.281589
"BL9 6BY",53.599514,-2.280429
"BL9 6BZ",53.59901,-2.280501
"BL9 6DA",53.598617,-2.27938
"BL9 6DB",53.598372,-2.279814
"BL9 6DE",53.59733,-2.280369
"BL9 6DF",53.597597,-2.280489
"BL9 6DG",53.597529,-2.278721
"BL9 6DH",53.598398,-2.280935
"BL9 6DJ",53.597527,-2.284495
"BL9 6DL",53.597476,-2.28315
"BL9 6DN",53.600547,-2.288263
"BL9 6DP",53.598375,-2.289545
"BL9 6DR",53.598656,-2.288595
"BL9 6DT",53.59891,-2.287887
"BL9 6DU",53.59909,-2.288555
"BL9 6DX",53.599894,-2.289556
"BL9 6DY",53.599348,-2.288721
"BL9 6EA",53.59985,-2.289132
"BL9 6EB",53.601669,-2.287785
"BL9 6ED",53.600503,-2.287051
"BL9 6EE",53.600985,-2.289263
"BL9 6EG",53.60244,-2.285191
"BL9 6EJ",53.604212,-2.285356
"BL9 6EL",53.604006,-2.284249
"BL9 6EN",53.602885,-2.283897
"BL9 6EP",53.604091,-2.282315
"BL9 6EQ",53.603223,-2.285425
"BL9 6ER",53.603848,-2.279792
"BL9 6ES",53.603306,-2.280907
"BL9 6ET",53.603804,-2.282072
"BL9 6EU",53.603353,-2.28296
"BL9 6EW",53.603353,-2.283733
"BL9 6EX",53.60117,-2.286119
"BL9 6EY",53.601803,-2.284491
"BL9 6FT",53.599736,-2.287983
"BL9 6FW",53.600685,-2.289591
"BL9 6FX",53.601532,-2.277221
"BL9 6FY",53.604408,-2.28138
"BL9 6GB",53.603167,-2.286135
"BL9 6GD",53.602773,-2.28577
"BL9 6GE",53.602601,-2.285403
"BL9 6GF",53.600267,-2.287896
"BL9 6GG",53.621591,-2.290128
"BL9 6GH",53.622103,-2.290267
"BL9 6GL",53.621996,-2.289813
"BL9 6GW",53.621375,-2.290292
"BL9 6GZ",53.622031,-2.290252
"BL9 6HA",53.605013,-2.280873
